Product ID,Product Name,Category,Sales Price,Cost Price
1,Way Splash,Soft Drink,11.45,4.22
2,Record Fusion,Water,7.16,3.49
3,Own Drop,Coffee,11.74,9.74
4,Woman Dew,Juice,11.32,7.9
5,Different Dew,Sports Drink,13.36,7.42
6,Piece Dew,Soft Drink,5.19,3.54
7,Let Dew,Alcoholic Beverage,4.22,1.94
8,Alone Splash,Coffee,9.71,9.12
9,Eight Brew,Tea,14.52,2.08
10,Method Mist,Tea,12.92,2.38
11,West Rush,Alcoholic Beverage,9.1,9.39
12,Pm Fusion,Sports Drink,14.39,7.68
13,Threat Mist,Water,2.35,9.36
14,Friend Splash,Soft Drink,10.99,4.03
15,Only Dew,Alcoholic Beverage,4.33,3.05
16,Side Brew,Tea,15.9,7.12
17,Debate Rush,Energy Drink,7.71,9.77
18,A Splash,Sports Drink,11.24,5.17
19,Animal Breeze,Juice,8.12,5.15
20,Assume Mist,Coffee,11.56,9.41
21,Center Mist,Juice,5.69,9.98
22,Level Splash,Juice,10.21,8.45
23,Two Breeze,Soft Drink,14.87,2.98
24,Represent Drop,Coffee,4.39,4.58
25,Poor Breeze,Soft Drink,8.16,3.79
26,Door Brew,Water,2.74,3.08
27,Recent Splash,Sports Drink,7.24,5.65
28,Return Mist,Soft Drink,13.22,1
29,Boy Splash,Coffee,11.01,5.24
30,Training Mist,Alcoholic Beverage,7.66,4.54
31,Sometimes Dew,Alcoholic Beverage,5.25,9.54
32,Name Rush,Alcoholic Beverage,14.22,8.38
33,Large Fusion,Juice,2.54,4.87
34,Window Dew,Soft Drink,10.67,1.43
35,Race Rush,Sports Drink,5.75,7.93
36,Protect Rush,Tea,9.1,4.65
37,Few Dew,Soft Drink,9.7,3.36
38,Value Fusion,Juice,7.51,7.52
39,Result Splash,Juice,5.7,2.6
40,Ground Rush,Coffee,5.21,2.62
41,Minute Rush,Coffee,7.09,7.28
42,Reveal Rush,Juice,6.22,1.24
43,Dark Brew,Alcoholic Beverage,10.51,9.57
44,Common Splash,Soft Drink,14.83,1.06
45,Hotel Splash,Water,8.39,5.8
46,Onto Dew,Tea,15.46,2.16
47,Heavy Rush,Soft Drink,8.68,8.38
48,Series Mist,Soft Drink,9.92,6.44
49,Left Breeze,Sports Drink,7.73,9.2
50,Include Breeze,Coffee,3.28,1.72
51,Leg Rush,Water,8.74,5.18
52,Throughout Fusion,Water,13.39,8.62
53,Management Drop,Water,6.14,5.67
54,Audience Fusion,Water,7.02,6.58
55,Choice Mist,Water,3.31,4.73
56,Discussion Fusion,Energy Drink,11.21,5.82
57,Somebody Fusion,Coffee,2.78,9.32
58,Build Brew,Soft Drink,11.31,3.03
59,Society Rush,Alcoholic Beverage,10.2,4.73
60,Clearly Brew,Sports Drink,4.77,5.26
61,Would Rush,Soft Drink,2.45,0.99
62,Indeed Splash,Energy Drink,7.65,2.88
63,Majority Rush,Energy Drink,11.79,9.77
64,Second Splash,Tea,10.41,1.36
65,Now Mist,Coffee,11.99,9.58
66,Develop Breeze,Water,3.49,1.25
67,Wait Drop,Energy Drink,8.61,4.11
68,Hold Brew,Coffee,6.85,4.3
69,Sea Drop,Energy Drink,12.91,4.03
70,Any Brew,Water,14.21,5.08
71,Against Rush,Sports Drink,11.59,2.2
72,Into Mist,Alcoholic Beverage,5.37,5.64
73,Despite Rush,Coffee,8.96,3.26
74,Begin Brew,Water,15.77,1.92
75,Too Splash,Sports Drink,5.83,1.92
76,Itself Breeze,Soft Drink,2.12,1.21
77,Pay Mist,Water,6.96,2.27
78,Over Splash,Soft Drink,15.36,7.94
79,Tv Breeze,Sports Drink,14.96,2.21
80,Street Breeze,Water,3.27,2.85
81,Its Dew,Water,6.26,9.77
82,Property Mist,Soft Drink,7.9,3.87
83,Above Brew,Soft Drink,12.34,4.78
84,Relate Mist,Coffee,15.48,5.49
85,Century Dew,Soft Drink,14.04,6.03
86,Nice Mist,Soft Drink,4.03,7.23
87,Question Breeze,Soft Drink,6.02,5.26
88,What Rush,Juice,4.78,5.57
89,Might Mist,Water,12.86,5.02
90,For Splash,Water,11.23,2.6
91,Husband Rush,Sports Drink,12.93,5.92
92,Of Rush,Soft Drink,5.95,2.15
93,Note Splash,Sports Drink,10.56,3.28
94,Attorney Mist,Sports Drink,13.63,1.7
95,Bar Drop,Coffee,3.66,5.54
96,Point Splash,Energy Drink,6.96,8.37
97,Mind Dew,Water,14.15,8.76
98,Soldier Splash,Coffee,5.19,5.07
99,Administration Fusion,Energy Drink,11.92,4.15
100,Democrat Dew,Sports Drink,10.84,7.97
